Kode_Item,Nama_Item,Kode_Transaksi,qty,harga,sub_total
OBT01034,Obat Molestiae,TRX010019,1,115561,115561
OBT01350,Obat Vel,TRX010019,3,154186,462558
OBT00462,Obat Optio,TRX010019,1,57395,57395
OBT01922,Obat Provident,TRX010019,1,145627,145627
OBT00683,Obat Sapiente,TRX010020,1,128008,128008
OBT01615,Obat Excepturi,TRX010020,2,42329,84658
OBT00611,Obat Assumenda,TRX010020,1,43840,43840
OBT00291,Obat Ex,TRX010020,3,108467,325401
OBT01447,Obat Dicta,TRX010021,1,92448,92448
OBT01255,Obat Dolor,TRX010021,3,195073,585219
OBT01109,Obat Corrupti,TRX010021,2,136763,273526
OBT01556,Obat Repellendus,TRX010022,1,67229,67229
OBT01831,Obat Aperiam,TRX010022,3,87070,261210
OBT01755,Obat Tempore,TRX010022,2,127565,255130
OBT00391,Obat Natus,TRX010022,1,183425,183425
OBT01105,Obat Assumenda,TRX010022,3,154486,463458
OBT00627,Obat Cumque,TRX010023,2,57779,115558
OBT01546,Obat Magni,TRX010023,3,94889,284667
OBT00422,Obat Asperiores,TRX010024,2,17761,35522
OBT01644,Obat Accusantium,TRX010024,2,104332,208664
OBT00686,Obat Sunt,TRX010024,1,65844,65844
OBT01559,Obat Dolor,TRX010025,2,19314,38628
OBT01583,Obat Eaque,TRX010025,2,91145,182290
OBT01040,Obat Unde,TRX010026,2,198897,397794
OBT01371,Obat Nostrum,TRX010027,3,64759,194277
OBT00132,Obat Dignissimos,TRX010028,2,22397,44794
OBT00554,Obat Nisi,TRX010028,1,60330,60330
OBT00523,Obat Id,TRX010028,1,193824,193824
OBT01931,Obat Incidunt,TRX010028,3,86200,258600
OBT00075,Obat Enim,TRX010028,1,100157,100157
OBT00230,Obat Quos,TRX010029,3,39130,117390
OBT01167,Obat Deserunt,TRX010029,1,113219,113219
OBT01470,Obat Eum,TRX010030,1,84028,84028
OBT01184,Obat Consectetur,TRX010030,1,20894,20894
OBT00002,Obat Magni,TRX010030,3,40764,122292
OBT01796,Obat Sunt,TRX010030,3,189979,569937
OBT00099,Obat Cupiditate,TRX010030,2,145223,290446
OBT01081,Obat Officiis,TRX010031,2,180752,361504
OBT01093,Obat Enim,TRX010031,2,85962,171924
OBT01909,Obat Sint,TRX010032,1,23344,23344
OBT00077,Obat Placeat,TRX010032,2,192608,385216
OBT01226,Obat Dolorem,TRX010032,2,80825,161650
OBT01392,Obat Quidem,TRX010032,3,89672,269016
OBT00603,Obat Sint,TRX010032,3,68381,205143
OBT00459,Obat Unde,TRX010033,1,30195,30195
OBT01260,Obat Nobis,TRX010034,2,165024,330048
OBT00577,Obat Officia,TRX010034,3,132591,397773
OBT00609,Obat Suscipit,TRX010034,3,83883,251649
OBT00779,Obat Quasi,TRX010035,2,195932,391864
OBT01050,Obat Reiciendis,TRX010036,3,155224,465672
OBT00272,Obat Repellat,TRX010036,3,29976,89928
OBT00227,Obat Officiis,TRX010036,1,80487,80487
OBT00049,Obat Assumenda,TRX010036,1,66849,66849
OBT00938,Obat Deleniti,TRX010037,3,161119,483357
OBT00143,Obat Rem,TRX010037,1,18657,18657
OBT01150,Obat Consectetur,TRX010038,1,45429,45429
OBT00454,Obat Minus,TRX010038,2,184558,369116
OBT00864,Obat Consectetur,TRX010039,1,43498,43498
OBT01227,Obat Laudantium,TRX010039,3,176195,528585
OBT01686,Obat Officia,TRX010039,3,78419,235257
OBT00942,Obat Fuga,TRX010039,3,79589,238767
OBT00785,Obat Libero,TRX010040,3,197034,591102
OBT00638,Obat Quo,TRX010040,3,113969,341907
OBT01051,Obat Enim,TRX010040,3,86186,258558
OBT01232,Obat Corrupti,TRX010040,1,76644,76644
OBT00376,Obat Minima,TRX010041,3,157973,473919
OBT01210,Obat Accusantium,TRX010041,2,171670,343340
OBT01414,Obat Expedita,TRX010041,1,56015,56015
OBT00104,Obat Ducimus,TRX010041,3,108016,324048
OBT00910,Obat Voluptatem,TRX010042,2,115820,231640
OBT00510,Obat Dolore,TRX010043,1,154038,154038
OBT01103,Obat Eos,TRX010043,2,156219,312438
OBT01918,Obat Eos,TRX010043,3,107525,322575
OBT01854,Obat Quos,TRX010044,3,116599,349797
OBT01817,Obat Aliquam,TRX010044,3,64658,193974
OBT00931,Obat Iure,TRX010045,3,66891,200673
OBT01336,Obat Voluptatum,TRX010045,2,100158,200316
OBT01544,Obat Eveniet,TRX010045,1,85917,85917
OBT01055,Obat Minima,TRX010046,2,103908,207816
OBT01909,Obat Sint,TRX010046,1,23344,23344
OBT00873,Obat Nihil,TRX010046,1,175927,175927
OBT01279,Obat Non,TRX010046,3,186363,559089
OBT00408,Obat Numquam,TRX010046,3,160767,482301
OBT00666,Obat Similique,TRX010047,3,75214,225642
OBT00207,Obat Ratione,TRX010047,2,73198,146396
OBT00204,Obat Doloribus,TRX010048,3,167006,501018
OBT00433,Obat Unde,TRX010048,2,109558,219116
OBT00261,Obat Atque,TRX010048,1,109216,109216
OBT01374,Obat Numquam,TRX010048,3,76913,230739
OBT00939,Obat Nemo,TRX010048,2,66299,132598
OBT01712,Obat Maxime,TRX010049,3,187061,561183
OBT01968,Obat In,TRX010049,1,95906,95906
OBT00195,Obat Omnis,TRX010049,2,64954,129908
OBT01408,Obat Qui,TRX010050,2,115116,230232
OBT00407,Obat Odio,TRX010050,2,75600,151200
OBT00071,Obat Maxime,TRX010050,3,183975,551925
OBT00082,Obat Maiores,TRX010051,2,163810,327620
OBT01596,Obat Pariatur,TRX010051,1,168556,168556
OBT00920,Obat Cum,TRX010051,3,37456,112368
OBT01214,Obat Accusantium,TRX010051,1,102859,102859
OBT00261,Obat Atque,TRX010051,2,109216,218432
OBT01545,Obat Sit,TRX010052,3,163159,489477
OBT00792,Obat Minima,TRX010053,3,37239,111717
OBT01754,Obat Natus,TRX010053,2,123266,246532
OBT00552,Obat Dolorem,TRX010053,3,94478,283434
OBT00010,Obat Ea,TRX010054,1,16070,16070
OBT00334,Obat Voluptatibus,TRX010054,2,177338,354676
OBT00761,Obat Autem,TRX010055,2,18217,36434
OBT00933,Obat Praesentium,TRX010055,3,153267,459801
OBT00953,Obat Est,TRX010056,2,32584,65168
OBT01795,Obat Sed,TRX010057,3,54975,164925
OBT00210,Obat Vero,TRX010057,2,101448,202896
OBT01083,Obat Inventore,TRX010058,1,197915,197915
OBT01509,Obat Quo,TRX010058,1,8221,8221
OBT00988,Obat Minus,TRX010058,1,185621,185621
OBT00239,Obat Hic,TRX010059,2,114662,229324
OBT01288,Obat Consequuntur,TRX010059,1,50491,50491
OBT01319,Obat Sequi,TRX010059,1,7454,7454
OBT00507,Obat Officiis,TRX010060,1,142125,142125
OBT00953,Obat Est,TRX010060,1,32584,32584
OBT01104,Obat Illo,TRX010060,3,18860,56580
OBT00172,Obat Voluptatum,TRX010060,2,197720,395440
OBT01982,Obat Ipsum,TRX010061,3,105837,317511
OBT01617,Obat Architecto,TRX010061,3,120450,361350
OBT01364,Obat Magnam,TRX010061,3,22133,66399
OBT00452,Obat Aspernatur,TRX010062,2,197908,395816
OBT01296,Obat Accusamus,TRX010062,3,26272,78816
OBT01723,Obat Alias,TRX010063,2,14595,29190
OBT00460,Obat Aut,TRX010064,2,101326,202652
OBT00801,Obat Eum,TRX010064,3,137388,412164
OBT00421,Obat Qui,TRX010064,2,60408,120816
OBT01032,Obat Quod,TRX010064,1,42261,42261
OBT00443,Obat Possimus,TRX010064,2,110485,220970
OBT00635,Obat Facere,TRX010065,1,170258,170258
OBT01542,Obat Minus,TRX010066,1,43642,43642
OBT00020,Obat Aliquam,TRX010066,2,111694,223388
OBT01330,Obat Possimus,TRX010066,3,168902,506706
OBT00198,Obat Pariatur,TRX010066,3,56974,170922
OBT00486,Obat Autem,TRX010066,1,174767,174767
OBT01657,Obat Fugit,TRX010067,3,168369,505107
OBT00720,Obat Expedita,TRX010067,2,134023,268046
OBT00828,Obat Soluta,TRX010067,2,193121,386242
OBT00203,Obat Delectus,TRX010067,2,110128,220256
OBT01742,Obat Quod,TRX010067,2,82345,164690
OBT00231,Obat Tempore,TRX010068,2,118064,236128
OBT01453,Obat Fugiat,TRX010068,3,119957,359871
OBT00386,Obat Distinctio,TRX010068,2,29721,59442
OBT01000,Obat Expedita,TRX010068,3,189686,569058
OBT00976,Obat Praesentium,TRX010068,3,142954,428862
OBT00127,Obat Nemo,TRX010069,1,31318,31318
OBT00533,Obat Vel,TRX010070,1,199121,199121
OBT01768,Obat Placeat,TRX010070,2,174175,348350
OBT00974,Obat Nihil,TRX010070,3,101808,305424
OBT00478,Obat Illo,TRX010070,2,116677,233354
OBT01211,Obat Ex,TRX010071,1,136185,136185
OBT01450,Obat Eveniet,TRX010071,1,24113,24113
OBT01431,Obat Ipsam,TRX010071,2,168917,337834
OBT00992,Obat Quod,TRX010071,1,47688,47688
OBT00469,Obat Quasi,TRX010071,2,162375,324750
OBT00277,Obat Accusantium,TRX010072,2,66562,133124
OBT01090,Obat Consectetur,TRX010072,1,154945,154945
OBT00448,Obat Optio,TRX010072,2,36615,73230
OBT00740,Obat Quo,TRX010073,3,117884,353652
OBT01506,Obat Eveniet,TRX010073,1,55457,55457
OBT00316,Obat Quo,TRX010073,2,38520,77040
OBT00819,Obat Voluptates,TRX010074,2,112297,224594
OBT01824,Obat Vel,TRX010074,2,158879,317758
OBT00586,Obat Est,TRX010075,2,108546,217092
OBT00827,Obat Temporibus,TRX010075,2,7607,15214
OBT01224,Obat Ratione,TRX010075,1,126805,126805
OBT00151,Obat Itaque,TRX010076,2,5806,11612
OBT01801,Obat Dolorem,TRX010076,1,147377,147377
OBT00928,Obat Dicta,TRX010076,2,6366,12732
OBT00871,Obat Facere,TRX010076,1,168672,168672
OBT01413,Obat Odit,TRX010076,3,107723,323169
OBT00899,Obat Modi,TRX010077,3,94314,282942
OBT00039,Obat Quos,TRX010078,3,135141,405423
OBT01253,Obat Nesciunt,TRX010078,1,37237,37237
OBT01182,Obat Quod,TRX010078,1,35167,35167
OBT01350,Obat Vel,TRX010079,3,154186,462558
OBT00704,Obat Neque,TRX010080,2,197566,395132
OBT01862,Obat Explicabo,TRX010081,1,11092,11092
OBT01525,Obat Necessitatibus,TRX010082,2,121555,243110
OBT00011,Obat Facere,TRX010082,2,194392,388784
OBT01188,Obat Eos,TRX010083,1,111712,111712
OBT01366,Obat Quam,TRX010083,3,38619,115857
OBT01191,Obat Saepe,TRX010083,1,12577,12577
OBT00050,Obat Saepe,TRX010083,2,115852,231704
OBT01171,Obat Perspiciatis,TRX010084,3,36710,110130
OBT00873,Obat Nihil,TRX010085,2,175927,351854
OBT01821,Obat Eum,TRX010085,2,129371,258742
OBT01795,Obat Sed,TRX010085,1,54975,54975
OBT01817,Obat Aliquam,TRX010086,1,64658,64658
OBT01169,Obat Ullam,TRX010086,2,72615,145230
OBT01007,Obat Nam,TRX010086,3,129087,387261
OBT01107,Obat Voluptate,TRX010086,2,54648,109296
OBT00387,Obat Blanditiis,TRX010087,1,91155,91155
OBT00135,Obat Aut,TRX010087,1,162841,162841
OBT00276,Obat Reprehenderit,TRX010087,1,92257,92257
OBT00959,Obat Occaecati,TRX010087,2,124094,248188
OBT00390,Obat Fuga,TRX010088,1,183601,183601
OBT00738,Obat Molestias,TRX010088,2,21689,43378
OBT00692,Obat Illo,TRX010088,3,162836,488508
OBT01605,Obat Pariatur,TRX010088,2,109939,219878
OBT00849,Obat Illo,TRX010088,1,82522,82522
OBT00678,Obat Ipsa,TRX010089,1,10454,10454
OBT00637,Obat Placeat,TRX010089,3,118190,354570
OBT00565,Obat Saepe,TRX010089,3,108529,325587
OBT00141,Obat Dolorem,TRX010089,2,187245,374490
OBT01616,Obat Iste,TRX010090,3,81172,243516
OBT00657,Obat Iure,TRX010090,2,192246,384492
OBT00332,Obat Quibusdam,TRX010090,2,44653,89306
OBT00387,Obat Blanditiis,TRX010091,2,91155,182310
OBT01760,Obat Repudiandae,TRX010091,1,88105,88105
OBT00832,Obat Non,TRX010091,1,93684,93684
OBT00760,Obat Nostrum,TRX010092,2,190179,380358
OBT01985,Obat Ex,TRX010092,2,188113,376226
OBT00012,Obat Magni,TRX010093,3,132360,397080
OBT01488,Obat Reiciendis,TRX010093,2,177942,355884
OBT00094,Obat Suscipit,TRX010093,1,172496,172496
OBT00965,Obat Quae,TRX010094,3,26481,79443
OBT01230,Obat Facere,TRX010094,3,20774,62322
OBT01667,Obat Nihil,TRX010094,2,104141,208282
OBT01457,Obat Necessitatibus,TRX010094,2,156764,313528
OBT00444,Obat Praesentium,TRX010095,2,79694,159388
OBT01159,Obat Accusantium,TRX010096,1,12122,12122
OBT00593,Obat Ratione,TRX010096,2,34337,68674
OBT00142,Obat Possimus,TRX010096,1,12169,12169
OBT01286,Obat Dolorem,TRX010096,3,7510,22530
OBT01258,Obat Fuga,TRX010097,1,118236,118236
OBT00916,Obat Sequi,TRX010097,2,73093,146186
OBT00877,Obat Sapiente,TRX010098,3,175067,525201
OBT01352,Obat Magni,TRX010098,1,134502,134502
OBT01239,Obat Reiciendis,TRX010098,3,60772,182316
OBT01270,Obat Provident,TRX010098,2,69468,138936
OBT00295,Obat Earum,TRX010098,2,151685,303370
OBT01463,Obat Itaque,TRX010099,3,87124,261372
OBT01665,Obat Cupiditate,TRX010099,3,55248,165744
OBT01611,Obat Voluptatibus,TRX010099,2,98817,197634
OBT00022,Obat Molestiae,TRX010099,1,181074,181074
OBT01086,Obat A,TRX010099,1,28207,28207
OBT00013,Obat Quas,TRX010100,2,10218,20436
OBT01066,Obat Vero,TRX010100,3,122722,368166
OBT01922,Obat Provident,TRX010100,3,145627,436881
OBT00236,Obat Error,TRX010100,3,195502,586506
OBT01856,Obat Accusantium,TRX010101,3,110740,332220
OBT00303,Obat Cum,TRX010101,2,93913,187826
OBT01765,Obat Perspiciatis,TRX010101,3,120785,362355
OBT00207,Obat Ratione,TRX010101,2,73198,146396
OBT01716,Obat Omnis,TRX010102,2,129192,258384
OBT01348,Obat Quidem,TRX010103,3,34083,102249
OBT00311,Obat Exercitationem,TRX010104,1,42170,42170
OBT00769,Obat Illo,TRX010105,1,152448,152448
OBT01865,Obat Quia,TRX010106,1,41473,41473
OBT01203,Obat Porro,TRX010107,1,175800,175800
OBT01465,Obat Deserunt,TRX010108,3,22046,66138
OBT00503,Obat Sequi,TRX010108,3,38499,115497
OBT00676,Obat Quam,TRX010109,1,187849,187849
OBT01061,Obat Nostrum,TRX010109,1,137320,137320
OBT00406,Obat Ducimus,TRX010109,3,169719,509157
OBT01919,Obat Dolores,TRX010109,3,46165,138495
OBT01492,Obat Iusto,TRX010110,1,105642,105642
OBT01325,Obat Dignissimos,TRX010110,1,190911,190911
OBT00775,Obat Sit,TRX010110,1,35948,35948
OBT01867,Obat Suscipit,TRX010110,2,91573,183146
OBT01399,Obat Repudiandae,TRX010111,1,127312,127312
OBT01732,Obat Et,TRX010112,1,116417,116417
OBT00665,Obat Minima,TRX010112,3,21648,64944
OBT01132,Obat Sint,TRX010113,3,119561,358683
OBT00305,Obat Magnam,TRX010114,2,39581,79162
OBT01512,Obat Deleniti,TRX010114,1,22706,22706
OBT00265,Obat Minus,TRX010114,2,105531,211062
OBT01567,Obat Voluptate,TRX010115,3,94535,283605
OBT01561,Obat Quam,TRX010115,1,95129,95129
OBT00670,Obat Sapiente,TRX010115,2,35655,71310
OBT00468,Obat Veniam,TRX010116,3,152602,457806
OBT00652,Obat Quidem,TRX010116,3,194953,584859
OBT01415,Obat Aliquid,TRX010116,2,92741,185482
OBT00055,Obat Dolores,TRX010117,2,61127,122254
OBT01643,Obat Necessitatibus,TRX010117,1,40977,40977
OBT01078,Obat Libero,TRX010117,2,93866,187732
OBT01382,Obat Soluta,TRX010118,1,71301,71301
OBT01711,Obat Officiis,TRX010118,1,142750,142750
OBT00162,Obat Inventore,TRX010118,2,140362,280724
OBT01217,Obat Nihil,TRX010119,1,69267,69267
OBT01734,Obat Sit,TRX010120,3,154781,464343
OBT01958,Obat Fugit,TRX010121,1,133701,133701
OBT00997,Obat Magni,TRX010121,2,191423,382846
OBT01985,Obat Ex,TRX010121,3,188113,564339
OBT01448,Obat Sunt,TRX010122,1,141229,141229
OBT01080,Obat Nostrum,TRX010122,1,17011,17011
OBT01954,Obat Ad,TRX010122,1,69707,69707
OBT00490,Obat Dolorem,TRX010123,1,134845,134845
OBT01094,Obat Vel,TRX010123,1,152074,152074
OBT01007,Obat Nam,TRX010124,2,129087,258174
OBT01047,Obat Eos,TRX010124,3,16713,50139
OBT01541,Obat Molestias,TRX010124,1,43174,43174
OBT00768,Obat Doloribus,TRX010124,1,31704,31704
OBT00439,Obat Commodi,TRX010125,2,10377,20754
OBT01967,Obat In,TRX010125,2,124618,249236
OBT01023,Obat Animi,TRX010126,3,35865,107595
OBT01176,Obat Error,TRX010126,3,158624,475872
OBT00519,Obat Vitae,TRX010127,1,113270,113270
OBT01845,Obat Aspernatur,TRX010127,2,85103,170206
OBT01947,Obat Ab,TRX010128,3,57875,173625
OBT00380,Obat Vitae,TRX010128,3,52335,157005
OBT00388,Obat Dolore,TRX010128,1,11805,11805
OBT00156,Obat Quod,TRX010128,2,87240,174480
OBT01897,Obat Veniam,TRX010128,2,133087,266174
OBT01355,Obat Ipsam,TRX010129,2,55795,111590
OBT01372,Obat Blanditiis,TRX010129,2,142122,284244
OBT01856,Obat Accusantium,TRX010129,3,110740,332220
OBT00491,Obat Laborum,TRX010129,2,143222,286444
OBT00780,Obat Voluptas,TRX010129,3,81578,244734
OBT00560,Obat Laborum,TRX010130,3,32873,98619
OBT00056,Obat Reiciendis,TRX010131,3,76970,230910
OBT01326,Obat Dignissimos,TRX010131,2,98800,197600
OBT01665,Obat Cupiditate,TRX010132,3,55248,165744
OBT01358,Obat Vero,TRX010132,3,153296,459888
OBT01967,Obat In,TRX010132,2,124618,249236
OBT01642,Obat Ducimus,TRX010132,3,182590,547770
OBT00220,Obat Doloremque,TRX010133,3,134538,403614
OBT01479,Obat Similique,TRX010133,2,18684,37368
OBT00501,Obat Adipisci,TRX010133,2,83746,167492
OBT01468,Obat Modi,TRX010133,3,120846,362538
OBT01883,Obat Deleniti,TRX010134,1,91203,91203
OBT00790,Obat Facere,TRX010135,1,92715,92715
OBT00189,Obat Labore,TRX010135,1,10435,10435
OBT00459,Obat Unde,TRX010135,3,30195,90585
OBT00834,Obat Distinctio,TRX010135,2,110290,220580
OBT00463,Obat Quibusdam,TRX010135,3,133351,400053
OBT00631,Obat Tenetur,TRX010136,3,18348,55044
OBT00021,Obat Voluptatibus,TRX010136,2,100272,200544
OBT01558,Obat Illum,TRX010136,3,151656,454968
OBT00525,Obat Veritatis,TRX010136,2,71422,142844
OBT00705,Obat Quis,TRX010137,2,99438,198876
OBT01530,Obat Veniam,TRX010138,3,20857,62571
OBT00879,Obat Quae,TRX010138,1,56719,56719
OBT00171,Obat Earum,TRX010138,2,130400,260800
OBT00184,Obat Totam,TRX010138,2,52681,105362
OBT00760,Obat Nostrum,TRX010139,1,190179,190179
OBT00705,Obat Quis,TRX010140,2,99438,198876
OBT00277,Obat Accusantium,TRX010140,3,66562,199686
OBT00980,Obat Ullam,TRX010140,3,141038,423114
OBT00765,Obat Error,TRX010140,3,32758,98274
OBT01321,Obat Velit,TRX010141,2,199810,399620
OBT00854,Obat Officiis,TRX010142,3,150125,450375
OBT00643,Obat Optio,TRX010143,3,196647,589941
OBT01959,Obat Asperiores,TRX010143,2,125639,251278
OBT00403,Obat Corporis,TRX010143,3,177894,533682
OBT00957,Obat Quasi,TRX010143,3,55477,166431
OBT01700,Obat Aut,TRX010144,1,106742,106742
OBT01192,Obat Odit,TRX010144,1,111822,111822
OBT01715,Obat Nulla,TRX010144,2,134706,269412
OBT00605,Obat Facere,TRX010144,1,169117,169117
OBT00770,Obat Illo,TRX010145,2,16002,32004
OBT01287,Obat Officia,TRX010145,2,181345,362690
OBT01084,Obat Quidem,TRX010145,3,77712,233136
OBT01109,Obat Corrupti,TRX010145,3,136763,410289
OBT00072,Obat Voluptate,TRX010146,2,69578,139156
OBT00255,Obat Sit,TRX010146,3,27475,82425
OBT00426,Obat Perspiciatis,TRX010146,3,19558,58674
OBT00771,Obat Explicabo,TRX010147,1,137987,137987
OBT01169,Obat Ullam,TRX010147,1,72615,72615
OBT01951,Obat Vero,TRX010147,3,21769,65307
OBT00682,Obat Modi,TRX010148,2,55384,110768
OBT01756,Obat Laborum,TRX010149,3,118378,355134
OBT00035,Obat Atque,TRX010149,1,179120,179120
OBT01964,Obat Temporibus,TRX010149,3,28882,86646
OBT00328,Obat Officiis,TRX010150,1,48249,48249
OBT00176,Obat Reprehenderit,TRX010151,2,185215,370430
OBT01640,Obat Deserunt,TRX010152,1,31526,31526
OBT01352,Obat Magni,TRX010153,1,134502,134502
OBT01388,Obat Nisi,TRX010153,1,173025,173025
OBT01221,Obat Quis,TRX010153,1,123421,123421
OBT00041,Obat Laudantium,TRX010154,1,67410,67410
OBT00624,Obat Quos,TRX010154,1,122837,122837
OBT01286,Obat Dolorem,TRX010154,2,7510,15020
OBT00138,Obat Illum,TRX010154,2,198406,396812
OBT01979,Obat Incidunt,TRX010154,2,197215,394430
OBT00878,Obat Laboriosam,TRX010155,1,111038,111038
OBT00612,Obat Aperiam,TRX010155,3,129253,387759
OBT00425,Obat Amet,TRX010155,1,89717,89717
OBT01035,Obat Incidunt,TRX010155,3,17753,53259
OBT00588,Obat Vitae,TRX010156,2,27973,55946
OBT01373,Obat Cumque,TRX010157,2,196076,392152
OBT00728,Obat Provident,TRX010158,3,17333,51999
OBT00548,Obat Sapiente,TRX010158,2,180704,361408
OBT01525,Obat Necessitatibus,TRX010159,1,121555,121555
OBT01479,Obat Similique,TRX010159,2,18684,37368
OBT01668,Obat Ullam,TRX010159,3,187020,561060
OBT00100,Obat Iusto,TRX010160,2,66966,133932
OBT00487,Obat Illo,TRX010160,2,184892,369784
OBT01354,Obat Saepe,TRX010161,1,149647,149647
OBT01421,Obat Laboriosam,TRX010161,1,185761,185761
OBT00950,Obat Ex,TRX010161,3,141227,423681
OBT00676,Obat Quam,TRX010161,2,187849,375698
OBT01784,Obat Quis,TRX010162,2,15035,30070
OBT01176,Obat Error,TRX010162,1,158624,158624
OBT01813,Obat Enim,TRX010163,2,176466,352932
OBT00489,Obat Tenetur,TRX010163,2,45650,91300
OBT01926,Obat Numquam,TRX010164,3,23025,69075
OBT01082,Obat Aliquid,TRX010164,2,121155,242310
OBT01455,Obat Sit,TRX010165,2,168931,337862
OBT01208,Obat Voluptatibus,TRX010166,2,121911,243822
OBT01290,Obat Soluta,TRX010166,1,150697,150697
OBT01837,Obat Repellendus,TRX010167,2,119997,239994
OBT01449,Obat Dolore,TRX010167,2,67060,134120
OBT00032,Obat Labore,TRX010167,2,136137,272274
OBT01873,Obat Totam,TRX010167,3,107468,322404
OBT00175,Obat Possimus,TRX010167,2,50476,100952
OBT00556,Obat Distinctio,TRX010168,2,25505,51010
OBT01425,Obat Quaerat,TRX010168,2,56610,113220
OBT01564,Obat Eaque,TRX010168,1,172917,172917
OBT00938,Obat Deleniti,TRX010169,3,161119,483357
OBT00656,Obat Laboriosam,TRX010169,2,65792,131584
OBT00806,Obat Iste,TRX010169,3,192485,577455
OBT00913,Obat Quia,TRX010169,2,196885,393770
OBT01418,Obat Illum,TRX010169,2,11651,23302
OBT00271,Obat Repudiandae,TRX010170,2,24151,48302
OBT01742,Obat Quod,TRX010170,2,82345,164690
OBT01142,Obat Quas,TRX010171,3,31039,93117
OBT01707,Obat Omnis,TRX010171,3,51923,155769
OBT00295,Obat Earum,TRX010171,1,151685,151685
OBT00247,Obat Quae,TRX010171,2,166921,333842
OBT01089,Obat Saepe,TRX010171,2,11502,23004
OBT01295,Obat Vel,TRX010172,1,146067,146067
OBT01873,Obat Totam,TRX010172,1,107468,107468
OBT00586,Obat Est,TRX010172,1,108546,108546
OBT01542,Obat Minus,TRX010172,3,43642,130926
OBT00238,Obat Iste,TRX010172,2,54640,109280
OBT01573,Obat At,TRX010173,3,127526,382578
OBT01885,Obat Non,TRX010173,3,123367,370101
OBT01123,Obat Beatae,TRX010173,3,144865,434595
OBT01752,Obat Aliquam,TRX010173,3,93178,279534
OBT01098,Obat Numquam,TRX010173,2,151630,303260
OBT01051,Obat Enim,TRX010174,3,86186,258558
OBT00766,Obat Ipsa,TRX010174,3,165057,495171
OBT00496,Obat Cum,TRX010174,1,81206,81206
OBT00613,Obat Sit,TRX010175,1,115593,115593
OBT01255,Obat Dolor,TRX010176,3,195073,585219
OBT00611,Obat Assumenda,TRX010177,3,43840,131520
OBT00963,Obat Voluptas,TRX010177,2,116592,233184
OBT01890,Obat Et,TRX010177,3,32345,97035
OBT00524,Obat Explicabo,TRX010177,1,154023,154023
OBT01985,Obat Ex,TRX010178,2,188113,376226
OBT01993,Obat Voluptatibus,TRX010178,3,76768,230304
OBT00928,Obat Dicta,TRX010178,3,6366,19098
OBT01028,Obat Omnis,TRX010178,1,82065,82065
OBT00364,Obat Explicabo,TRX010178,2,96646,193292
OBT00276,Obat Reprehenderit,TRX010179,1,92257,92257
OBT01923,Obat Corporis,TRX010179,2,114684,229368
OBT00406,Obat Ducimus,TRX010179,2,169719,339438
OBT01563,Obat Quo,TRX010179,3,57526,172578
OBT00921,Obat Eaque,TRX010180,1,17512,17512
OBT01856,Obat Accusantium,TRX010181,2,110740,221480
OBT01358,Obat Vero,TRX010181,3,153296,459888
OBT00015,Obat Corporis,TRX010182,2,27001,54002
OBT01862,Obat Explicabo,TRX010182,3,11092,33276
OBT00061,Obat Totam,TRX010183,3,19660,58980
OBT01219,Obat Placeat,TRX010183,1,116084,116084
OBT00628,Obat Voluptatum,TRX010183,2,82288,164576
OBT00260,Obat Itaque,TRX010183,1,186671,186671
OBT01596,Obat Pariatur,TRX010183,2,168556,337112
OBT01635,Obat Sunt,TRX010184,2,51803,103606
OBT01602,Obat Et,TRX010184,3,199007,597021
OBT00662,Obat Sunt,TRX010184,1,156100,156100
OBT00273,Obat Consequatur,TRX010185,2,151014,302028
OBT01841,Obat At,TRX010185,1,103225,103225
OBT00095,Obat Quibusdam,TRX010186,2,188662,377324
OBT00658,Obat Blanditiis,TRX010187,3,20913,62739
OBT00957,Obat Quasi,TRX010187,3,55477,166431
OBT00264,Obat Rem,TRX010187,1,191996,191996
OBT01697,Obat Ipsum,TRX010187,2,22006,44012
OBT01673,Obat Ab,TRX010188,3,171761,515283
OBT01255,Obat Dolor,TRX010188,3,195073,585219
OBT00967,Obat Vero,TRX010188,1,21303,21303
OBT00138,Obat Illum,TRX010189,3,198406,595218
OBT01027,Obat Quos,TRX010190,1,84497,84497
OBT01301,Obat Minima,TRX010190,1,13112,13112
OBT01997,Obat Mollitia,TRX010190,3,179760,539280
OBT00669,Obat Commodi,TRX010191,3,129082,387246
OBT01844,Obat Odio,TRX010191,3,38645,115935
OBT01574,Obat Repudiandae,TRX010191,1,162224,162224
OBT01461,Obat Veritatis,TRX010191,1,13740,13740
OBT00454,Obat Minus,TRX010192,1,184558,184558
OBT01292,Obat Corporis,TRX010192,2,189365,378730
OBT01730,Obat Qui,TRX010192,3,62303,186909
OBT01944,Obat Commodi,TRX010193,3,184525,553575
OBT00879,Obat Quae,TRX010193,2,56719,113438
OBT00897,Obat Tempore,TRX010194,2,86855,173710
OBT00473,Obat Aut,TRX010195,3,101530,304590
OBT01577,Obat Ipsa,TRX010195,1,156626,156626
OBT01385,Obat Sunt,TRX010196,1,123994,123994
OBT01641,Obat Voluptate,TRX010196,1,10503,10503
OBT00509,Obat Nobis,TRX010197,1,82458,82458
OBT01111,Obat Cum,TRX010198,2,36531,73062
OBT01792,Obat Pariatur,TRX010198,1,84355,84355
