Kode_Item,Nama_Item,Kandungan,Tipe_Golongan_Obat,Kategori_Obat,HNA,Satuan
OBT00307,Obat Iure,Ibuprofen 771mg,Bebas,Antibiotik,88182,botol
OBT00308,Obat Debitis,Paracetamol 868mg,Narkotika,Vitamin,191189,sirup
OBT00309,Obat Rem,Paracetamol 897mg,Narkotika,Antibiotik,144047,botol
OBT00310,Obat Quas,Cetirizine 324mg,Bebas Terbatas,Antihistamin,118489,kapsul
OBT00311,Obat Exercitationem,Ibuprofen 923mg,Bebas,Antibiotik,42170,kapsul
OBT00312,Obat Commodi,Metformin 575mg,Keras,Analgesik,73263,sirup
OBT00313,Obat Nisi,Paracetamol 670mg,Bebas,Analgesik,35629,kapsul
OBT00314,Obat Porro,Ibuprofen 968mg,Narkotika,Analgesik,87121,kapsul
OBT00315,Obat Sapiente,Paracetamol 567mg,Bebas,Antidiabetik,16576,kapsul
OBT00316,Obat Quo,Ibuprofen 920mg,Keras,Analgesik,38520,botol
OBT00317,Obat Nesciunt,Cetirizine 783mg,Narkotika,Antibiotik,135865,kapsul
OBT00318,Obat Rem,Metformin 672mg,Bebas Terbatas,Vitamin,78662,tablet
OBT00319,Obat Quibusdam,Metformin 424mg,Bebas,Antidiabetik,99527,botol
OBT00320,Obat Exercitationem,Cetirizine 727mg,Bebas,Antidiabetik,117744,kapsul
OBT00321,Obat Autem,Metformin 536mg,Bebas Terbatas,Analgesik,79167,kapsul
OBT00322,Obat Quia,Metformin 556mg,Bebas Terbatas,Antihistamin,74000,kapsul
OBT00323,Obat Saepe,Ibuprofen 861mg,Keras,Antihistamin,165676,tablet
OBT00324,Obat Optio,Cetirizine 560mg,Bebas,Vitamin,74142,kapsul
OBT00325,Obat Repellendus,Amoxicillin 869mg,Narkotika,Antibiotik,140521,kapsul
OBT00326,Obat Totam,Ibuprofen 960mg,Bebas,Analgesik,87053,sirup
OBT00327,Obat Fugit,Amoxicillin 884mg,Keras,Antibiotik,119235,botol
OBT00328,Obat Officiis,Metformin 596mg,Narkotika,Antihistamin,48249,botol
OBT00329,Obat Minima,Ibuprofen 381mg,Narkotika,Antihistamin,87717,tablet
OBT00330,Obat Unde,Cetirizine 179mg,Narkotika,Analgesik,198165,kapsul
OBT00331,Obat Ipsam,Amoxicillin 340mg,Keras,Antihistamin,133784,tablet
OBT00332,Obat Quibusdam,Amoxicillin 443mg,Bebas,Antihistamin,44653,sirup
OBT00333,Obat Exercitationem,Amoxicillin 653mg,Narkotika,Vitamin,150666,tablet
OBT00334,Obat Voluptatibus,Paracetamol 241mg,Bebas Terbatas,Vitamin,177338,botol
OBT00335,Obat Similique,Ibuprofen 336mg,Keras,Antihistamin,171894,tablet
OBT00336,Obat Magnam,Cetirizine 810mg,Narkotika,Analgesik,120340,sirup
OBT00337,Obat Voluptas,Ibuprofen 823mg,Keras,Analgesik,18951,tablet
OBT00338,Obat Dolorem,Ibuprofen 165mg,Bebas Terbatas,Antihistamin,54524,sirup
OBT00339,Obat Accusantium,Cetirizine 517mg,Narkotika,Antihistamin,43960,tablet
OBT00340,Obat Voluptatem,Amoxicillin 655mg,Bebas,Antidiabetik,19304,kapsul
OBT00341,Obat Perspiciatis,Cetirizine 525mg,Keras,Vitamin,65256,botol
OBT00342,Obat Laudantium,Paracetamol 311mg,Narkotika,Vitamin,53009,botol
OBT00343,Obat Pariatur,Cetirizine 498mg,Narkotika,Analgesik,14401,tablet
OBT00344,Obat Consectetur,Metformin 812mg,Keras,Antibiotik,128272,tablet
OBT00345,Obat Quo,Paracetamol 977mg,Bebas Terbatas,Antibiotik,73216,tablet
OBT00346,Obat Ipsum,Metformin 489mg,Keras,Antihistamin,47874,sirup
OBT00347,Obat Rerum,Cetirizine 106mg,Bebas,Antihistamin,190063,tablet
OBT00348,Obat Aliquid,Amoxicillin 405mg,Bebas Terbatas,Antidiabetik,127456,tablet
OBT00349,Obat Libero,Cetirizine 973mg,Bebas,Antidiabetik,119407,tablet
OBT00350,Obat Alias,Cetirizine 651mg,Bebas,Analgesik,35415,kapsul
OBT00351,Obat Minima,Metformin 919mg,Keras,Antibiotik,134737,tablet
OBT00352,Obat Deleniti,Metformin 325mg,Narkotika,Antidiabetik,15693,botol
OBT00353,Obat Ab,Cetirizine 324mg,Bebas Terbatas,Antibiotik,120741,sirup
OBT00354,Obat Aliquid,Amoxicillin 546mg,Bebas,Antidiabetik,98459,botol
OBT00355,Obat Numquam,Cetirizine 129mg,Narkotika,Vitamin,190867,botol
OBT00356,Obat Aliquam,Cetirizine 444mg,Narkotika,Antihistamin,152024,sirup
OBT00357,Obat Voluptatem,Cetirizine 841mg,Narkotika,Antidiabetik,132192,botol
OBT00358,Obat Quas,Ibuprofen 960mg,Bebas Terbatas,Antidiabetik,124998,sirup
OBT00359,Obat Iusto,Cetirizine 230mg,Narkotika,Analgesik,134233,sirup
OBT00360,Obat Inventore,Metformin 646mg,Keras,Vitamin,34488,sirup
OBT00361,Obat Eum,Paracetamol 503mg,Bebas,Antihistamin,193681,sirup
OBT00362,Obat Repudiandae,Metformin 677mg,Narkotika,Vitamin,43811,kapsul
OBT00363,Obat Excepturi,Paracetamol 185mg,Bebas,Antihistamin,37415,sirup
OBT00364,Obat Explicabo,Cetirizine 238mg,Bebas Terbatas,Vitamin,96646,botol
OBT00365,Obat Repellendus,Cetirizine 286mg,Bebas,Vitamin,29530,botol
OBT00366,Obat Excepturi,Paracetamol 366mg,Narkotika,Analgesik,58407,tablet
OBT00367,Obat Magni,Cetirizine 435mg,Bebas Terbatas,Antibiotik,79479,sirup
OBT00368,Obat Soluta,Ibuprofen 565mg,Bebas Terbatas,Vitamin,52357,sirup
OBT00369,Obat Aspernatur,Amoxicillin 445mg,Bebas Terbatas,Antihistamin,49117,tablet
OBT00370,Obat Magni,Cetirizine 384mg,Bebas Terbatas,Antihistamin,138362,tablet
OBT00371,Obat Molestiae,Cetirizine 358mg,Bebas Terbatas,Analgesik,76510,botol
OBT00372,Obat Dolores,Paracetamol 581mg,Bebas,Antibiotik,152651,botol
OBT00373,Obat Eum,Paracetamol 867mg,Narkotika,Antihistamin,178837,kapsul
OBT00374,Obat Suscipit,Metformin 153mg,Bebas,Analgesik,158531,tablet
OBT00375,Obat Magnam,Amoxicillin 329mg,Narkotika,Antihistamin,60678,tablet
OBT00376,Obat Minima,Paracetamol 899mg,Bebas Terbatas,Antidiabetik,157973,sirup
OBT00377,Obat Occaecati,Paracetamol 872mg,Bebas Terbatas,Vitamin,6081,kapsul
OBT00378,Obat Placeat,Paracetamol 353mg,Keras,Antibiotik,142891,sirup
OBT00379,Obat Facere,Ibuprofen 959mg,Keras,Vitamin,154628,botol
OBT00380,Obat Vitae,Paracetamol 736mg,Bebas,Vitamin,52335,botol
OBT00381,Obat Eaque,Ibuprofen 344mg,Bebas,Antidiabetik,114161,botol
OBT00382,Obat Atque,Ibuprofen 584mg,Narkotika,Antibiotik,25141,kapsul
OBT00383,Obat Iusto,Paracetamol 677mg,Narkotika,Vitamin,69528,tablet
OBT00384,Obat Facere,Ibuprofen 576mg,Keras,Analgesik,135576,sirup
OBT00385,Obat Temporibus,Amoxicillin 885mg,Keras,Antihistamin,182447,tablet
OBT00386,Obat Distinctio,Amoxicillin 271mg,Narkotika,Antihistamin,29721,sirup
OBT00387,Obat Blanditiis,Metformin 721mg,Bebas,Analgesik,91155,tablet
OBT00388,Obat Dolore,Paracetamol 896mg,Narkotika,Antihistamin,11805,sirup
OBT00389,Obat Alias,Ibuprofen 418mg,Bebas,Antidiabetik,79522,botol
OBT00390,Obat Fuga,Paracetamol 692mg,Narkotika,Analgesik,183601,kapsul
OBT00391,Obat Natus,Paracetamol 419mg,Bebas Terbatas,Antidiabetik,183425,botol
OBT00392,Obat Eligendi,Metformin 793mg,Bebas Terbatas,Antibiotik,36979,botol
OBT00393,Obat Veniam,Cetirizine 506mg,Bebas,Antihistamin,108329,tablet
OBT00394,Obat Iusto,Ibuprofen 177mg,Bebas,Antidiabetik,102926,sirup
OBT00395,Obat A,Metformin 807mg,Bebas,Antihistamin,159753,botol
OBT00396,Obat Fugiat,Ibuprofen 204mg,Keras,Antibiotik,32805,botol
OBT00397,Obat Libero,Amoxicillin 970mg,Keras,Vitamin,89813,tablet
OBT00398,Obat Dolorum,Metformin 924mg,Narkotika,Antihistamin,45311,botol
OBT00399,Obat Optio,Paracetamol 915mg,Keras,Antibiotik,12569,sirup
OBT00400,Obat Blanditiis,Metformin 901mg,Narkotika,Analgesik,26250,kapsul
OBT00401,Obat Recusandae,Paracetamol 455mg,Narkotika,Antihistamin,125647,kapsul
OBT00402,Obat Quaerat,Metformin 538mg,Narkotika,Analgesik,190521,tablet
OBT00403,Obat Corporis,Amoxicillin 170mg,Bebas,Antibiotik,177894,kapsul
OBT00404,Obat Dicta,Metformin 763mg,Bebas Terbatas,Analgesik,130791,botol
OBT00405,Obat Nesciunt,Amoxicillin 112mg,Keras,Antidiabetik,124027,tablet
OBT00406,Obat Ducimus,Cetirizine 942mg,Narkotika,Vitamin,169719,sirup
OBT00407,Obat Odio,Cetirizine 208mg,Bebas Terbatas,Analgesik,75600,botol
OBT00408,Obat Numquam,Cetirizine 470mg,Narkotika,Antidiabetik,160767,kapsul
OBT00409,Obat Deserunt,Cetirizine 824mg,Bebas,Vitamin,177492,botol
OBT00410,Obat Officiis,Ibuprofen 545mg,Narkotika,Antibiotik,6521,tablet
OBT00411,Obat Autem,Ibuprofen 851mg,Keras,Antibiotik,91357,botol
OBT00412,Obat Tempora,Metformin 766mg,Bebas Terbatas,Antihistamin,16494,kapsul
OBT00413,Obat Vero,Amoxicillin 730mg,Bebas,Antidiabetik,177011,kapsul
OBT00414,Obat Quae,Metformin 893mg,Narkotika,Vitamin,168149,kapsul
OBT00415,Obat Nam,Cetirizine 576mg,Keras,Antihistamin,123777,kapsul
OBT00416,Obat Alias,Cetirizine 945mg,Keras,Antihistamin,90174,tablet
OBT00417,Obat Qui,Metformin 374mg,Bebas,Antibiotik,196770,tablet
OBT00418,Obat Atque,Amoxicillin 972mg,Keras,Analgesik,197497,botol
OBT00419,Obat Tempora,Ibuprofen 950mg,Keras,Vitamin,154201,tablet
OBT00420,Obat Accusamus,Paracetamol 385mg,Keras,Antibiotik,38900,kapsul
OBT00421,Obat Qui,Cetirizine 349mg,Keras,Antibiotik,60408,sirup
OBT00422,Obat Asperiores,Cetirizine 683mg,Narkotika,Analgesik,17761,botol
OBT00423,Obat Voluptatibus,Metformin 784mg,Bebas,Antidiabetik,173727,sirup
OBT00424,Obat Dignissimos,Cetirizine 444mg,Bebas Terbatas,Antidiabetik,79174,kapsul
OBT00425,Obat Amet,Paracetamol 606mg,Bebas Terbatas,Vitamin,89717,sirup
OBT00426,Obat Perspiciatis,Amoxicillin 286mg,Keras,Analgesik,19558,botol
OBT00427,Obat Atque,Cetirizine 317mg,Narkotika,Analgesik,199982,tablet
OBT00428,Obat Consequuntur,Amoxicillin 916mg,Keras,Antihistamin,23539,kapsul
OBT00429,Obat Quaerat,Amoxicillin 448mg,Keras,Analgesik,148433,botol
OBT00430,Obat Exercitationem,Amoxicillin 710mg,Narkotika,Vitamin,162887,tablet
OBT00431,Obat Asperiores,Amoxicillin 669mg,Bebas,Analgesik,104979,sirup
OBT00432,Obat Quis,Paracetamol 629mg,Bebas Terbatas,Antihistamin,29261,kapsul
OBT00433,Obat Unde,Ibuprofen 187mg,Narkotika,Antidiabetik,109558,tablet
OBT00434,Obat Illo,Ibuprofen 837mg,Bebas Terbatas,Analgesik,71889,sirup
OBT00435,Obat Officiis,Cetirizine 600mg,Narkotika,Analgesik,51664,botol
OBT00436,Obat Eveniet,Metformin 876mg,Narkotika,Vitamin,67935,botol
OBT00437,Obat Cum,Ibuprofen 807mg,Keras,Antihistamin,109573,botol
OBT00438,Obat Porro,Cetirizine 761mg,Bebas,Analgesik,28380,kapsul
OBT00439,Obat Commodi,Cetirizine 558mg,Bebas Terbatas,Vitamin,10377,kapsul
OBT00440,Obat Magni,Paracetamol 195mg,Bebas,Antihistamin,59584,sirup
OBT00441,Obat Dignissimos,Amoxicillin 326mg,Keras,Antibiotik,47713,tablet
OBT00442,Obat Odit,Cetirizine 808mg,Narkotika,Antihistamin,106843,sirup
OBT00443,Obat Possimus,Ibuprofen 413mg,Bebas Terbatas,Antibiotik,110485,tablet
OBT00444,Obat Praesentium,Metformin 477mg,Bebas,Antibiotik,79694,tablet
OBT00445,Obat Autem,Cetirizine 666mg,Bebas Terbatas,Antihistamin,174651,tablet
OBT00446,Obat Ratione,Metformin 452mg,Bebas Terbatas,Antihistamin,176459,sirup
OBT00447,Obat Quam,Cetirizine 863mg,Bebas Terbatas,Vitamin,45405,kapsul
OBT00448,Obat Optio,Metformin 438mg,Bebas,Antihistamin,36615,tablet
OBT00449,Obat Provident,Amoxicillin 819mg,Bebas Terbatas,Antidiabetik,83262,sirup
OBT00450,Obat Hic,Cetirizine 377mg,Bebas,Analgesik,133672,kapsul
OBT00451,Obat Itaque,Amoxicillin 357mg,Narkotika,Antihistamin,118340,sirup
OBT00452,Obat Aspernatur,Ibuprofen 223mg,Bebas,Antibiotik,197908,botol
OBT00453,Obat Nobis,Ibuprofen 423mg,Keras,Antibiotik,86291,tablet
OBT00454,Obat Minus,Paracetamol 860mg,Bebas Terbatas,Antihistamin,184558,sirup
OBT00455,Obat Illo,Metformin 880mg,Keras,Analgesik,163207,tablet
OBT00456,Obat Dolore,Ibuprofen 296mg,Keras,Analgesik,39416,kapsul
OBT00457,Obat Sit,Ibuprofen 856mg,Narkotika,Vitamin,99121,botol
OBT00458,Obat Quas,Cetirizine 383mg,Narkotika,Vitamin,179462,botol
OBT00459,Obat Unde,Metformin 878mg,Bebas,Vitamin,30195,sirup
OBT00460,Obat Aut,Metformin 711mg,Bebas,Analgesik,101326,sirup
OBT00461,Obat Nihil,Amoxicillin 202mg,Bebas Terbatas,Antibiotik,139388,kapsul
OBT00462,Obat Optio,Ibuprofen 403mg,Keras,Vitamin,57395,kapsul
OBT00463,Obat Quibusdam,Ibuprofen 469mg,Narkotika,Antihistamin,133351,tablet
OBT00464,Obat Eius,Ibuprofen 409mg,Narkotika,Vitamin,121770,botol
OBT00465,Obat Ipsam,Paracetamol 825mg,Bebas Terbatas,Antihistamin,106735,tablet
OBT00466,Obat Deleniti,Metformin 229mg,Narkotika,Antihistamin,129895,botol
OBT00467,Obat Eligendi,Amoxicillin 146mg,Keras,Antibiotik,75380,sirup
OBT00468,Obat Veniam,Paracetamol 666mg,Keras,Antihistamin,152602,kapsul
OBT00469,Obat Quasi,Amoxicillin 814mg,Bebas Terbatas,Vitamin,162375,sirup
OBT00470,Obat Necessitatibus,Ibuprofen 753mg,Keras,Antibiotik,115905,kapsul
OBT00471,Obat Dignissimos,Cetirizine 205mg,Bebas,Antibiotik,28651,botol
OBT00472,Obat Eos,Paracetamol 687mg,Keras,Analgesik,115765,botol
OBT00473,Obat Aut,Amoxicillin 580mg,Bebas,Antihistamin,101530,kapsul
OBT00474,Obat Reprehenderit,Cetirizine 551mg,Narkotika,Vitamin,165921,sirup
OBT00475,Obat Fuga,Amoxicillin 288mg,Bebas,Antihistamin,53852,kapsul
OBT00476,Obat Itaque,Paracetamol 358mg,Bebas Terbatas,Vitamin,118798,tablet
OBT00477,Obat Unde,Cetirizine 216mg,Bebas Terbatas,Antidiabetik,170330,sirup
OBT00478,Obat Illo,Paracetamol 510mg,Bebas Terbatas,Analgesik,116677,sirup
OBT00479,Obat Voluptate,Cetirizine 175mg,Bebas Terbatas,Antibiotik,29365,tablet
OBT00480,Obat Deserunt,Metformin 744mg,Bebas Terbatas,Analgesik,15600,sirup
OBT00481,Obat Eaque,Paracetamol 255mg,Keras,Antidiabetik,139569,botol
OBT00482,Obat Sequi,Ibuprofen 930mg,Narkotika,Analgesik,94586,kapsul
OBT00483,Obat Reiciendis,Metformin 411mg,Bebas,Analgesik,126510,botol
OBT00484,Obat Quam,Paracetamol 354mg,Bebas,Antidiabetik,182324,sirup
OBT00485,Obat Harum,Paracetamol 671mg,Narkotika,Analgesik,63780,botol
OBT00486,Obat Autem,Cetirizine 720mg,Bebas Terbatas,Analgesik,174767,tablet
OBT00487,Obat Illo,Metformin 909mg,Bebas Terbatas,Antidiabetik,184892,sirup
OBT00488,Obat Repellat,Metformin 331mg,Bebas,Antidiabetik,192075,kapsul
OBT00489,Obat Tenetur,Metformin 489mg,Bebas Terbatas,Antibiotik,45650,kapsul
OBT00490,Obat Dolorem,Cetirizine 553mg,Keras,Vitamin,134845,kapsul
OBT00491,Obat Laborum,Amoxicillin 980mg,Keras,Vitamin,143222,tablet
OBT00492,Obat Minima,Metformin 539mg,Keras,Antidiabetik,170035,kapsul
OBT00493,Obat Eveniet,Amoxicillin 682mg,Narkotika,Vitamin,174666,botol
OBT00494,Obat Totam,Metformin 161mg,Narkotika,Antihistamin,142541,botol
OBT00495,Obat A,Metformin 857mg,Keras,Antihistamin,27012,sirup
OBT00496,Obat Cum,Paracetamol 881mg,Narkotika,Antihistamin,81206,kapsul
OBT00497,Obat Sequi,Ibuprofen 740mg,Keras,Antibiotik,127740,tablet
OBT00498,Obat Quae,Ibuprofen 370mg,Bebas Terbatas,Vitamin,119650,botol
OBT00499,Obat Ipsum,Paracetamol 260mg,Narkotika,Analgesik,25757,sirup
OBT00500,Obat Eos,Ibuprofen 277mg,Keras,Antidiabetik,130202,botol
OBT00501,Obat Adipisci,Metformin 176mg,Narkotika,Vitamin,83746,botol
OBT00502,Obat Culpa,Ibuprofen 102mg,Bebas,Antibiotik,43956,sirup
OBT00503,Obat Sequi,Cetirizine 561mg,Bebas,Analgesik,38499,botol
OBT00504,Obat Saepe,Metformin 581mg,Keras,Antidiabetik,184388,botol
OBT00505,Obat Ab,Amoxicillin 133mg,Keras,Analgesik,83750,tablet
OBT00506,Obat Modi,Ibuprofen 395mg,Keras,Antidiabetik,70183,sirup
OBT00507,Obat Officiis,Amoxicillin 819mg,Bebas,Antihistamin,142125,sirup
OBT00508,Obat Ipsam,Cetirizine 172mg,Narkotika,Antidiabetik,117127,kapsul
OBT00509,Obat Nobis,Ibuprofen 370mg,Bebas,Antidiabetik,82458,botol
OBT00510,Obat Dolore,Metformin 777mg,Keras,Antibiotik,154038,tablet
OBT00511,Obat Neque,Ibuprofen 535mg,Keras,Antibiotik,17511,kapsul
OBT00512,Obat Quibusdam,Paracetamol 657mg,Keras,Antibiotik,149439,sirup
OBT00513,Obat Mollitia,Ibuprofen 763mg,Keras,Vitamin,25062,tablet
OBT00514,Obat Velit,Ibuprofen 372mg,Keras,Antihistamin,16821,sirup
OBT00515,Obat Numquam,Ibuprofen 173mg,Keras,Antihistamin,139588,botol
OBT00516,Obat Saepe,Paracetamol 269mg,Bebas Terbatas,Antidiabetik,33215,kapsul
OBT00517,Obat Magni,Amoxicillin 709mg,Bebas Terbatas,Antibiotik,138864,kapsul
OBT00518,Obat Ab,Metformin 395mg,Bebas Terbatas,Antihistamin,116388,botol
OBT00519,Obat Vitae,Cetirizine 227mg,Bebas,Antihistamin,113270,botol
OBT00520,Obat Enim,Cetirizine 805mg,Narkotika,Antidiabetik,29768,sirup
OBT00521,Obat Id,Amoxicillin 816mg,Keras,Antidiabetik,126806,kapsul
OBT00522,Obat Ipsa,Cetirizine 378mg,Bebas Terbatas,Analgesik,178239,kapsul
OBT00523,Obat Id,Metformin 652mg,Bebas,Analgesik,193824,kapsul
OBT00524,Obat Explicabo,Cetirizine 548mg,Narkotika,Antidiabetik,154023,kapsul
OBT00525,Obat Veritatis,Paracetamol 712mg,Keras,Analgesik,71422,tablet
OBT00526,Obat Corporis,Paracetamol 542mg,Keras,Antihistamin,98181,sirup
OBT00527,Obat Soluta,Amoxicillin 718mg,Narkotika,Antidiabetik,71810,tablet
OBT00528,Obat Necessitatibus,Amoxicillin 126mg,Narkotika,Antidiabetik,158503,kapsul
OBT00529,Obat Non,Paracetamol 334mg,Narkotika,Antibiotik,26435,botol
OBT00530,Obat Laudantium,Metformin 701mg,Bebas,Antihistamin,136974,botol
OBT00531,Obat Natus,Paracetamol 883mg,Bebas Terbatas,Antihistamin,9264,kapsul
OBT00532,Obat Nulla,Amoxicillin 690mg,Keras,Vitamin,34867,tablet
OBT00533,Obat Vel,Paracetamol 881mg,Bebas Terbatas,Vitamin,199121,tablet
OBT00534,Obat Ab,Ibuprofen 581mg,Narkotika,Antibiotik,178428,sirup
OBT00535,Obat Dolorem,Metformin 767mg,Keras,Vitamin,126340,botol
OBT00536,Obat Quidem,Cetirizine 384mg,Keras,Analgesik,52068,kapsul
OBT00537,Obat In,Ibuprofen 699mg,Bebas Terbatas,Antidiabetik,52764,tablet
OBT00538,Obat Ab,Cetirizine 750mg,Bebas Terbatas,Analgesik,108011,tablet
OBT00539,Obat Excepturi,Cetirizine 193mg,Keras,Antihistamin,16864,sirup
OBT00540,Obat Sapiente,Cetirizine 456mg,Bebas,Vitamin,26834,botol
OBT00541,Obat Error,Cetirizine 441mg,Narkotika,Analgesik,114117,kapsul
OBT00542,Obat Perferendis,Amoxicillin 786mg,Bebas Terbatas,Antihistamin,189648,botol
OBT00543,Obat Praesentium,Paracetamol 978mg,Keras,Vitamin,83026,kapsul
OBT00544,Obat Vero,Ibuprofen 437mg,Bebas Terbatas,Antidiabetik,87299,tablet
OBT00545,Obat Suscipit,Cetirizine 810mg,Keras,Antidiabetik,158933,tablet
OBT00546,Obat Dolor,Cetirizine 395mg,Bebas,Vitamin,194817,kapsul
OBT00547,Obat Sunt,Cetirizine 933mg,Bebas Terbatas,Antidiabetik,124275,botol
OBT00548,Obat Sapiente,Metformin 137mg,Keras,Antibiotik,180704,botol
OBT00549,Obat Recusandae,Cetirizine 190mg,Bebas Terbatas,Vitamin,122951,sirup
OBT00550,Obat In,Amoxicillin 358mg,Keras,Antibiotik,168528,kapsul
OBT00551,Obat Iste,Amoxicillin 218mg,Narkotika,Vitamin,74487,botol
OBT00552,Obat Dolorem,Cetirizine 985mg,Keras,Antibiotik,94478,tablet
OBT00553,Obat Libero,Metformin 944mg,Keras,Antidiabetik,54071,botol
OBT00554,Obat Nisi,Paracetamol 773mg,Keras,Antidiabetik,60330,botol
OBT00555,Obat Blanditiis,Metformin 573mg,Keras,Analgesik,53519,sirup
OBT00556,Obat Distinctio,Cetirizine 155mg,Narkotika,Antihistamin,25505,botol
OBT00557,Obat Provident,Ibuprofen 630mg,Bebas,Antibiotik,163348,sirup
OBT00558,Obat Voluptas,Amoxicillin 737mg,Narkotika,Vitamin,72978,tablet
OBT00559,Obat Numquam,Cetirizine 740mg,Bebas,Antidiabetik,181530,tablet
OBT00560,Obat Laborum,Cetirizine 878mg,Bebas,Antidiabetik,32873,tablet
OBT00561,Obat Exercitationem,Paracetamol 308mg,Narkotika,Vitamin,118717,tablet
OBT00562,Obat Similique,Amoxicillin 662mg,Bebas Terbatas,Antihistamin,145083,tablet
OBT00563,Obat Eligendi,Ibuprofen 394mg,Bebas,Vitamin,9696,botol
OBT00564,Obat Dolore,Cetirizine 815mg,Narkotika,Antibiotik,6532,kapsul
OBT00565,Obat Saepe,Cetirizine 224mg,Keras,Antibiotik,108529,tablet
OBT00566,Obat Ex,Paracetamol 745mg,Narkotika,Analgesik,35586,botol
OBT00567,Obat Beatae,Metformin 918mg,Bebas,Vitamin,8487,sirup
OBT00568,Obat Eaque,Ibuprofen 826mg,Bebas Terbatas,Antidiabetik,50019,tablet
OBT00569,Obat Excepturi,Ibuprofen 418mg,Bebas Terbatas,Analgesik,176914,kapsul
OBT00570,Obat Voluptate,Metformin 114mg,Bebas Terbatas,Vitamin,130074,botol
OBT00571,Obat Magni,Metformin 517mg,Keras,Vitamin,125628,botol
OBT00572,Obat Animi,Paracetamol 330mg,Narkotika,Antidiabetik,186352,botol
OBT00573,Obat Assumenda,Paracetamol 572mg,Narkotika,Antihistamin,111192,sirup
OBT00574,Obat Impedit,Paracetamol 763mg,Bebas Terbatas,Vitamin,177416,kapsul
OBT00575,Obat Excepturi,Ibuprofen 610mg,Keras,Analgesik,162781,tablet
OBT00576,Obat Adipisci,Amoxicillin 621mg,Bebas Terbatas,Antidiabetik,195293,sirup
OBT00577,Obat Officia,Amoxicillin 525mg,Bebas,Antibiotik,132591,tablet
OBT00578,Obat Asperiores,Cetirizine 583mg,Narkotika,Antihistamin,84377,kapsul
OBT00579,Obat Debitis,Ibuprofen 567mg,Keras,Antidiabetik,167135,botol
OBT00580,Obat Labore,Metformin 248mg,Bebas Terbatas,Analgesik,166675,tablet
OBT00581,Obat Explicabo,Cetirizine 295mg,Keras,Vitamin,99562,botol
OBT00582,Obat Quas,Metformin 620mg,Bebas,Analgesik,186052,botol
OBT00583,Obat Dolores,Ibuprofen 984mg,Bebas,Vitamin,181633,tablet
OBT00584,Obat Odit,Paracetamol 382mg,Narkotika,Antidiabetik,185956,tablet
OBT00585,Obat Tempora,Cetirizine 448mg,Keras,Antihistamin,181974,kapsul
OBT00586,Obat Est,Metformin 373mg,Bebas Terbatas,Antidiabetik,108546,tablet
OBT00587,Obat Ad,Paracetamol 389mg,Bebas Terbatas,Analgesik,84339,kapsul
OBT00588,Obat Vitae,Amoxicillin 957mg,Bebas Terbatas,Analgesik,27973,kapsul
OBT00589,Obat Ducimus,Metformin 693mg,Narkotika,Antibiotik,37791,tablet
OBT00590,Obat Distinctio,Cetirizine 986mg,Bebas,Antibiotik,40419,botol
OBT00591,Obat Dolore,Ibuprofen 557mg,Bebas Terbatas,Vitamin,8637,sirup
OBT00592,Obat A,Metformin 595mg,Narkotika,Analgesik,55017,tablet
OBT00593,Obat Ratione,Amoxicillin 440mg,Narkotika,Antibiotik,34337,tablet
OBT00594,Obat Ratione,Metformin 881mg,Narkotika,Antibiotik,9164,kapsul
OBT00595,Obat Eligendi,Metformin 486mg,Narkotika,Antidiabetik,187460,kapsul
OBT00596,Obat Magni,Cetirizine 429mg,Narkotika,Vitamin,54341,kapsul
OBT00597,Obat Occaecati,Ibuprofen 814mg,Narkotika,Antihistamin,12029,tablet
OBT00598,Obat Pariatur,Ibuprofen 685mg,Bebas,Antidiabetik,59848,sirup
OBT00599,Obat Possimus,Cetirizine 339mg,Bebas,Vitamin,131121,tablet
OBT00600,Obat Doloribus,Cetirizine 144mg,Bebas Terbatas,Vitamin,175032,tablet
OBT00601,Obat Alias,Amoxicillin 862mg,Keras,Antidiabetik,43051,tablet
OBT00602,Obat Omnis,Cetirizine 822mg,Bebas,Antibiotik,175325,sirup
OBT00603,Obat Sint,Cetirizine 495mg,Keras,Antibiotik,68381,sirup
OBT00604,Obat Neque,Ibuprofen 607mg,Bebas Terbatas,Antihistamin,119239,kapsul
OBT00605,Obat Facere,Paracetamol 229mg,Bebas,Antihistamin,169117,botol
OBT00606,Obat Vel,Metformin 704mg,Bebas,Vitamin,146186,tablet
OBT00607,Obat Dolorem,Amoxicillin 990mg,Bebas Terbatas,Antihistamin,55047,kapsul
OBT00608,Obat Pariatur,Paracetamol 995mg,Bebas Terbatas,Antidiabetik,27568,sirup
OBT00609,Obat Suscipit,Cetirizine 202mg,Keras,Antihistamin,83883,tablet
OBT00610,Obat Doloribus,Metformin 567mg,Keras,Analgesik,126484,sirup
OBT00611,Obat Assumenda,Paracetamol 839mg,Bebas Terbatas,Vitamin,43840,botol
OBT00612,Obat Aperiam,Ibuprofen 519mg,Bebas,Analgesik,129253,kapsul
OBT00613,Obat Sit,Ibuprofen 176mg,Narkotika,Vitamin,115593,botol
OBT00614,Obat Quas,Cetirizine 900mg,Keras,Vitamin,10719,sirup
OBT00615,Obat Excepturi,Amoxicillin 446mg,Bebas Terbatas,Antidiabetik,35528,sirup
